alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,4,1340,118,GO:0106310,7.61154714332438e-22,3.0168637111868302e-25,"673, 369, 8844, 8491, 2475, 207, 5170, 6198, 1432, 3984, 5894, 1859, 5584, 5058, 23031, 57787, 1459, 1457, 4750, 4214, 4216, 5063, 65125, 4217, 1612, 10188, 10494, 9943, 5290, 5600, 5594, 2932, 5601, 613, 10769, 5127, 6197, 6195, 1454, 2580, 1453, 5566, 6300, 5582, 5062, 208, 1020, 8536, 5605, 472, 5590, 5218, 5580, 65266, 5588, 5591, 5599, 9625, 27347, 22853, 2931, 5595, 5587, 5562, 5581, 5610, 4215, 56924, 282974, 5604, 4294, 5602, 120892, 1025, 1452, 5567, 5578, 5609, 57118, 5579, 3611, 5606, 6885, 814, 6872, 79705, 10645, 147746, 26750, 283455, 140469, 51701, 5294, 5291, 2011, 6794, 4139, 115701, 65268, 57551, 8408, 9064, 4261, 545, 5603, 6416, 54861, 84630, 8986, 7786, 84451, 5613, 5583, 80216, 84254, 9891, 84446, 9024"
fc,4,1340,113,GO:0004674,1.91969488923674e-21,1.52175575841201e-24,"673, 369, 8844, 8491, 2475, 207, 5170, 6198, 29959, 1432, 3984, 5894, 1147, 1859, 5584, 5058, 23031, 57787, 1459, 1460, 1457, 4750, 4214, 5063, 65125, 4217, 1612, 10188, 10494, 9943, 5290, 5600, 5594, 2932, 613, 8878, 10769, 5127, 6197, 6195, 1454, 2580, 1453, 5566, 6300, 5582, 5062, 208, 1020, 5605, 472, 5590, 5580, 65266, 5588, 5591, 5599, 9625, 27347, 22853, 2931, 5595, 5587, 5562, 5581, 5610, 4215, 56924, 282974, 5604, 4294, 120892, 1025, 1452, 5567, 5578, 10295, 5579, 3611, 5606, 6885, 6872, 79705, 10645, 147746, 26750, 283455, 140469, 51701, 5294, 2011, 6794, 4139, 115701, 65268, 57551, 8408, 4261, 545, 5603, 6416, 54861, 657, 90, 84630, 8986, 7786, 91, 5583, 80216, 9891, 84446, 9024"
fc,4,1340,132,GO:0003677,7.3657756152016e-17,8.758353882522711e-20,"4291, 672, 2547, 1642, 142, 4172, 26994, 1660, 6774, 5594, 3190, 4904, 10657, 1936, 51593, 2975, 4831, 6421, 5424, 4841, 10155, 23435, 641, 4137, 2033, 11177, 3615, 7112, 121504, 472, 10049, 8350, 23013, 171023, 5970, 56957, 6597, 8359, 8360, 8368, 8370, 6493, 51720, 8349, 3097, 51222, 1786, 2969, 1025, 84172, 10891, 6232, 6737, 55636, 3014, 3280, 22980, 1108, 10250, 152485, 23047, 3159, 10075, 5431, 4204, 27343, 29855, 55342, 3608, 3012, 3018, 3609, 5426, 6418, 8343, 57599, 51592, 84656, 58508, 6209, 3015, 8345, 7153, 8467, 8085, 317772, 8342, 8340, 27127, 8338, 54821, 7155, 79915, 23347, 58499, 5980, 255626, 50809, 85235, 6936, 10943, 3148, 5430, 1958, 57680, 128312, 8861, 545, 7994, 55193, 55215, 92815, 84678, 7520, 80142, 161725, 5981, 57634, 8148, 6874, 24137, 51663, 9612, 83990, 7486, 8968, 8570, 7546, 9203, 94239, 6917, 92675"
fc,4,1340,37,GO:0004713,1.66015699410135e-13,2.88372721030844e-16,"1956, 1859, 2066, 4750, 3643, 2048, 5315, 10188, 3716, 2534, 5747, 4067, 613, 3055, 3791, 6714, 2043, 5605, 27, 2242, 1445, 9625, 3815, 1436, 5604, 4145, 2263, 5609, 2268, 5606, 10645, 147746, 2185, 7525, 7535, 6416, 84630"
fc,4,1340,67,GO:0004672,1.66015699410135e-13,3.29004556896819e-16,"673, 369, 8844, 8491, 2475, 207, 6198, 3984, 5894, 1147, 1859, 5584, 5058, 4750, 4214, 65125, 4217, 1612, 10494, 2932, 10155, 157285, 6197, 1454, 1453, 5566, 5582, 5062, 1020, 6714, 2043, 5590, 5580, 65266, 5588, 27, 5591, 22853, 5562, 5581, 5610, 4215, 5604, 4294, 120892, 156, 1025, 1452, 5578, 6885, 6872, 283455, 51701, 5156, 5294, 5754, 57551, 6011, 545, 6416, 5289, 90, 84687, 7786, 3000, 84451, 5583"
fc,4,1340,285,GO:0005524,5.23345517601222e-12,1.24457911439054e-14,"673, 369, 8844, 3303, 8491, 2475, 207, 5170, 6198, 1956, 3320, 1615, 29959, 1432, 3984, 5894, 1147, 1859, 2066, 5584, 2547, 5058, 7332, 23113, 23031, 57787, 1459, 1457, 10212, 7919, 23517, 4172, 4750, 11127, 7334, 4214, 4216, 5063, 65125, 4915, 3326, 3306, 80347, 4217, 1660, 3643, 2048, 1612, 5315, 10188, 5211, 2324, 10494, 9943, 5536, 6261, 47, 5290, 3716, 5600, 5594, 2534, 5747, 4067, 2932, 3312, 5601, 4831, 546, 613, 6853, 3308, 10769, 4141, 55229, 5127, 7317, 6197, 6195, 641, 5704, 10521, 1454, 2580, 1453, 9093, 5566, 6300, 9031, 5582, 4627, 5062, 3055, 3791, 2321, 208, 23396, 1020, 8536, 4647, 6714, 2043, 1969, 5605, 5037, 472, 317, 5590, 5218, 5580, 65266, 5588, 27, 5591, 2242, 1445, 79837, 5599, 9625, 27347, 10808, 9040, 6597, 22853, 2931, 5595, 5213, 1655, 7321, 7322, 7323, 5587, 3815, 3093, 4643, 10749, 5562, 5581, 5610, 4215, 1436, 2870, 56924, 282974, 5604, 4294, 5602, 4145, 120892, 156, 1025, 1452, 2263, 3101, 5567, 5578, 5609, 11344, 30844, 5214, 57118, 2268, 10295, 5579, 55636, 23205, 3611, 5606, 6885, 23137, 814, 1108, 26973, 6872, 4621, 79705, 10645, 147746, 2185, 26750, 2047, 283455, 140469, 3305, 51701, 5156, 5294, 5291, 2011, 6794, 80755, 122402, 55226, 7525, 6687, 55614, 5524, 83473, 3416, 7535, 6301, 5754, 7153, 8467, 4629, 4139, 4437, 492, 27127, 1767, 1662, 23303, 146754, 54821, 7155, 23, 79915, 115701, 286410, 23347, 1769, 65268, 2042, 2044, 57551, 6854, 57680, 8408, 3832, 6011, 9064, 4261, 545, 5603, 6416, 3706, 5289, 55236, 7520, 54861, 657, 90, 5981, 57634, 440915, 55210, 24137, 55585, 83990, 84630, 5230, 8986, 7486, 63971, 9585, 7786, 8647, 3000, 2038, 89795, 84451, 84284, 91, 5613, 487, 4626, 79012, 5583, 80216, 84254, 3645, 284434, 9162, 84643, 9401, 94160, 84896, 8632, 9371, 9891, 833, 3324, 51761, 84446, 9024"
fc,1,1100,22,GO:0005484,1.4756442527247598e-11,5.84876834215127e-15,"6616, 6810, 8773, 6804, 10228, 10490, 8675, 6845, 6844, 112755, 23673, 116841, 10652, 6843, 9341, 9554, 9342, 53407, 8417, 9482, 9570, 9527"
fc,5,965,22,GO:0030280,1.5023458852432297e-11,5.9546012098423705e-15,"3855, 3848, 3854, 3853, 140807, 5317, 3852, 3851, 3849, 374454, 112802, 338785, 319101, 196374, 51350, 121391, 3892, 3888, 9119, 8689, 3887, 3889"
fc,4,1340,32,GO:0030527,3.6150048563536594e-11,1.00297399898833e-13,"121504, 8350, 8359, 8360, 8368, 8370, 3020, 3021, 8349, 3014, 3159, 3012, 3018, 8343, 3009, 3024, 3005, 3006, 3008, 3015, 3007, 8345, 317772, 8342, 8340, 8338, 255626, 85235, 128312, 92815, 8968, 94239"
fc,31,4,4,GO:0004749,1.1020690189304001e-10,4.36808965093302e-14,"5635, 5631, 5634, 5636"
